Timing_CN,Timing_EN,Trigger_CN,Trigger_EN,Pack_CN,Pack_EN,Price,Target_Clusters
Day 1,Day 1,注册首日自动推送,Auto on registration day,首充礼包,First Purchase Pack,6,"F2P Casual, Mid Spender"
Day 3,Day 3,活跃>=2天且未付费触发,Active>=2d & no payment,新手补给,Novice Supply Pack,12,"F2P Casual, F2P Churner"
Day 7,Day 7,"活跃>=5天且未付费, 或钻石存量<566触发 (问题2流失阈值)","Active>=5d & no payment, or diamond<566 (P2 churn threshold)",资源补给包,Resource Supply Pack,30,Mid Spender
Day 3-5,Day 3-5,连续2天资源缺口>30%,2-day resource gap >30%,成长加速包,Growth Accelerator,68,Mid Spender
Day 7-10,Day 7-10,等级停滞(>=3天未升级),Level stagnation >=3 days,战力突破包,Power Breakthrough,128,"Mid Spender, Whale"
Day 1-7,Day 1-7,注册首周且等级>=5触发,Day 1-7 & level >= 5,至尊大礼包,Ultimate Pack,328,Whale
